District,Year,allocation,no_reservoir,value_mean,value_min,value_max,change_in_a_year_mean,change_in_a_year_min,change_in_a_year_max
Del Puerto,1990,1.6,6,802560.7346491228,137235.0,1975719.0,-92774.81006632431,-2405.0,-101729.0
Del Puerto,1991,0.8,6,603909.8019525802,154275.0,1669281.0,-198650.9326965426,17040.0,-306438.0
Del Puerto,1992,0.8,6,622531.9060642093,162485.0,1986180.0,18622.104111629073,8210.0,316899.0
Del Puerto,1993,1.6,6,602281.0188235294,83631.0,1990471.0,-20250.887240679935,-78854.0,4291.0
Del Puerto,1994,1.34,6,1048290.30625,152168.0,2084422.0,446009.28742647066,68537.0,93951.0
Del Puerto,1995,3.2,6,844143.4466403162,174865.0,2347144.0,-204146.85960968386,22697.0,262722.0
Del Puerto,1996,3.04,6,1352745.1678914642,263567.0,2397184.0,508601.72125114803,88702.0,50040.0
Del Puerto,1997,2.88,6,1315073.5876803552,197829.0,2417233.0,-37671.580211109016,-65738.0,20049.0
Del Puerto,1998,3.2,6,1178533.332596685,160868.0,2265154.0,-136540.25508367014,-36961.0,-152079.0
Del Puerto,1999,2.24,6,1455922.5894736843,329228.0,2451632.0,277389.2568769993,168360.0,186478.0
Del Puerto,2000,2.08,6,1275389.5027839644,209812.0,2396535.0,-180533.08668971993,-119416.0,-55097.0
Del Puerto,2001,1.44,6,1212066.5189041095,209063.0,2384550.0,-63322.9838798549,-749.0,-11985.0
Del Puerto,2002,2.24,6,1068797.818630137,164513.0,2049394.0,-143268.70027397247,-44550.0,-335156.0
Del Puerto,2003,2.4,6,1050171.7939726028,216029.0,2353849.0,-18626.024657534203,51516.0,304455.0
Del Puerto,2004,2.24,6,1148684.7986870897,200742.0,2408421.0,98513.00471448689,-15287.0,54572.0
Del Puerto,2005,2.72,6,1025976.8920547945,172913.0,2188730.0,-122707.90663229523,-27829.0,-219691.0
Del Puerto,2006,3.2,6,1358467.2462973122,226330.0,2496779.0,332490.35424251773,53417.0,308049.0
Del Puerto,2007,1.6,6,1320251.767964893,205847.0,2421332.0,-38215.47833241918,-20483.0,-75447.0
Del Puerto,2008,1.28,6,951198.3134246576,159191.0,1951360.0,-369053.45454023546,-46656.0,-469972.0
Del Puerto,2009,0.32,6,739301.8974218322,166933.0,1663997.0,-211896.41600282537,7742.0,-287363.0
Del Puerto,2010,1.44,6,810848.5363836825,189352.0,1715230.0,71546.63896185032,22419.0,51233.0
Del Puerto,2011,2.56,6,1141371.9723298284,193121.0,2314499.0,330523.4359461459,3769.0,599269.0
Del Puerto,2012,1.28,6,1388476.3159053384,273019.0,2426086.0,247104.34357550996,79898.0,111587.0
Del Puerto,2013,0.64,6,1079652.144198895,262870.0,2323019.0,-308824.1717064434,-10149.0,-103067.0
Del Puerto,2014,0.0,6,739820.8209774849,162617.0,1997983.0,-339831.32322141004,-100253.0,-325036.0
Del Puerto,2015,0.0,6,584139.9775219298,174014.0,1382623.0,-155680.84345555515,11397.0,-615360.0
Del Puerto,2016,0.16,6,501303.5863387978,135561.0,1495075.0,-82836.39118313196,-38453.0,112452.0
Del Puerto,2017,3.2,6,875629.9090410959,195296.0,2367304.0,374326.32270229806,59735.0,872229.0
Del Puerto,2018,1.6,6,1352185.783561644,311229.0,2284892.0,476555.87452054804,115933.0,-82412.0
Del Puerto,2019,2.4,6,1188049.157808219,273291.0,2393945.0,-164136.62575342483,-37938.0,109053.0
Del Puerto,2020,0.64,6,1080345.0425138632,5320.0,2397671.0,-107704.1152943559,-267971.0,3726.0
Del Puerto,2021,0.0,6,769802.9424657534,511.0,1864018.0,-310542.1000481098,-4809.0,-533653.0
Del Puerto,2022,0.0,6,524363.153705398,1123.0,1359485.0,-245439.78876035544,612.0,-504533.0
